"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명"
"젠틀리동물병원","서울특별시 강서구 마곡동","서울특별시 강서구 마곡중앙5로 81 (마곡동 에스비타운)","20150209","폐업 등","20170112","","","","0","","","","동물판매업"
"굿독","서울특별시 중구 충무로4가","서울특별시 중구 퇴계로 225 (충무로4가)","20151021","운영중","","","","","0","","","","동물판매업"
"메리펫","서울특별시 중랑구 면목동 649-19번지","서울특별시 중랑구 사가정로50길 11 1층 (면목동)","20160527","운영중","","","","","0","","","","동물판매업"
"캣틀리에","서울특별시 서초구 방배동 455-2번지 2층","서울특별시 서초구 방배천로16길 4 2층 (방배동)","20160609","운영중","","","","","0","","","","동물판매업"
"모던독","서울특별시 강남구 대치동 972-6번지 102호","서울특별시 강남구 영동대로65길 52 (대치동)","20160530","운영중","","","","","0","","","","동물판매업"
"논현애견샾","서울특별시 강남구 논현동 181-8번지 1층","서울특별시 강남구 강남대로118길 47 1층 (논현동)","20160530","운영중","","","","","0","","","","동물판매업"
"슈가네","서울특별시 마포구 연남동 369-20번지","서울특별시 마포구 연남로 45 (연남동)","20160503","운영중","","","","","0","","","","동물판매업"
"루이몽","서울특별시 강남구 신사동 662-16번지 1층","서울특별시 강남구 선릉로161길 15-3 1층 (신사동)","20160509","폐업 등","20161028","","","","0","","","","동물판매업"
"파트라슈월계","서울특별시 노원구 월계동 776번지 월계프라자 107호","서울특별시 노원구 초안산로5길 12 107호 (월계동 월계프라자)","20160613","폐업 등","20170908","","","","0","","","","동물판매업"
"역삼동물병원","서울특별시 강남구 역삼동 662-18번지 1층","서울특별시 강남구 언주로 527 1층 (역삼동 강남텔레피아빌딩)","20160623","폐업 등","20180628","","","","0","","","","동물판매업"
"애플애견샵","","서울특별시 송파구 오금로 136 (송파동 일진빌딩)","20160909","운영중","","","","","0","","","","동물판매업"
"카카오독","서울특별시 강서구 화곡동 782-11번지","서울특별시 강서구 곰달래로60길 지하 33 (화곡동)","20160830","운영중","","","","","0","","","","동물판매업"
"퍼피하우스","서울특별시 은평구 신사동 24-54번지","서울특별시 은평구 증산로21길 2 (신사동)","20161031","운영중","","","","","0","","","","동물판매업"
"도란도란","서울특별시 중랑구 중화동 305-20번지","서울특별시 중랑구 동일로 805-1 3층 (중화동)","20161122","운영중","","","","","0","","","","동물판매업"
"레인독","서울특별시 성동구 용답동 83-8번지","서울특별시 성동구 용답중앙길 45-2 (용답동)","20161128","운영중","","","","","0","","","","동물판매업"
"베이비몽강남점","서울특별시 강남구 신사동 662-16번지 1층","서울특별시 강남구 선릉로161길 15-3 1층 (신사동)","20161128","운영중","","","","","0","","","","동물판매업"
"아쿠아 푸들(Aqua Poodle)","서울특별시 서대문구 연희동 77-1번지","서울특별시 서대문구 연희로 195 (연희동)","20170328","폐업 등","20180510","","","","0","","","","동물판매업"
"둥글개둥글개","서울특별시 동대문구 장안동 326-10번지","서울특별시 동대문구 장한로32길 27 101호 (장안동 삼성그린아파트)","20170314","운영중","","","","","0","","","","동물판매업"
"늘사랑동물병원","서울특별시 강동구 명일동 305-3번지","서울특별시 강동구 고덕로 162 (명일동)","20170331","운영중","","","","","0","","","","동물판매업"
"주식회사 나우디엔지","서울특별시 구로구 구로동 611-26번지","서울특별시 구로구 구로중앙로 207 3층 369-B5호 (구로동 오퍼스1)","20170410","폐업 등","20171030","","","","0","","","","동물판매업"
"나도그냥(ts)","서울특별시 동대문구 장안동 381-3번지","서울특별시 동대문구 한천로24길 74-8 (장안동)","20170404","운영중","","","","","0","","","","동물판매업"
"해피애견타운(Happy Pet Town)","서울특별시 강동구 둔촌동 489번지","서울특별시 강동구 양재대로 1396 (둔촌동 원천빌딩)","20170316","운영중","","","","","0","","","","동물판매업"
"러블리캣","서울특별시 강남구 논현동 149-2번지 1층","서울특별시 강남구 학동로20길 47 (논현동)","20170414","운영중","","","","","0","","","","동물판매업"
"경기관상어","서울특별시 영등포구 양평동3가 45번지 지하1층","서울특별시 영등포구 선유로 138 지하1층 (양평동3가 롯데마트)","20170428","운영중","","","","","0","","","","동물판매업"
"리치퍼피","서울특별시 강서구 등촌동 638번지 상가동 201호","서울특별시 강서구 공항대로45길 68-6 상가동 2층 201호 (등촌동 서광등촌마을아파트)","20170524","운영중","","","","","0","","","","동물판매업"
"하우스 펫츠","서울특별시 동대문구 휘경동 49-290번지","서울특별시 동대문구 한천로46가길 6 1층 (휘경동)","20170607","폐업 등","20180307","","","","0","","","","동물판매업"
"마루동물병원","","서울특별시 송파구 양산로4길 13 1층 101호 (거여동 우토 파크빌딩)","20170705","폐업 등","20180625","","","","0","","","","동물판매업"
"개이독","서울특별시 양천구 신정동 942-11번지","서울특별시 양천구 오목로 125 (신정동)","20170601","운영중","","","","","0","","","","동물판매업"
"엘리","서울특별시 강북구 수유동 93-11번지","서울특별시 강북구 도봉로 279 1층 (수유동)","20170620","운영중","","","","","0","","","","동물판매업"
"강아지","서울특별시 서초구 방배동 914-15번지","서울특별시 서초구 방배로13길 41-3 2층 (방배동)","20170703","운영중","","","","","0","","","","동물판매업"
"펫가든","서울특별시 노원구 중계동 361-1번지 롯데마트 지층","","20080707","폐업 등","20180523","","","","","","","","동물판매업"
"러브펫(홈플러스)","서울특별시 노원구 중계동 509-2번지 홈플러스 지하2층","","20080707","운영중","","","","","","","","","동물판매업"
"도그에이드","서울특별시 노원구 상계동 173-1번지 벽산아파트 109동 28호","서울특별시 노원구 한글비석로 396 109동 28호 (상계동 벽산아파트상가)","20081125","운영중","","","","","0","","","","동물판매업"
"쿨펫동물병원(건영백화점)","서울특별시 노원구 중계동 506-1   번지 건영백화점 5층","","20090420","운영중","","","","","","","","","동물판매업"
"우리들동물종합병원","서울특별시 노원구 중계동 512번지 무지개아파트상가 116호 117호","","20090911","폐업 등","20140109","","","","","","","","동물판매업"
"유림동물병원","서울특별시 노원구 월계동 562번지 테크노타운 1층","","20091028","폐업 등","20160531","","","","","","","","동물판매업"
"똥강아지","서울특별시 노원구 상계동 169-31번지","","20110107","폐업 등","20141119","","","","","","","","동물판매업"
"행복한애완동물세상","서울특별시 노원구 중계동 591번지 대호프라자 232호","","20110107","폐업 등","20110624","","","","","","","","동물판매업"
"에이미펫","서울특별시 노원구 상계동 434-22번지","서울특별시 노원구 한글비석로47길 67 (상계동)","20120203","운영중","","","","","","","","","동물판매업"
"바우스토리 노원점","서울특별시 노원구 공릉동 653-22번지","서울특별시 노원구 화랑로 467 (공릉동)","20120711","운영중","","","","","","","","","동물판매업"
"아쿠아오리지널-롯데마트중계점","서울특별시 노원구 중계동 361번지","서울특별시 노원구 노원로 330 (공릉동)","20121120","폐업 등","20141231","","","","","","","","동물판매업"
"이마트 월계점","서울특별시 노원구 월계동 333-1번지","서울특별시 노원구 마들로3길 15 (월계동)","20130228","운영중","","","","","0","","","","동물판매업"
"홈플러스 중계점","서울특별시 노원구 중계동 509-2번지","서울특별시 노원구 동일로204가길 12 (중계동)","20131230","운영중","","","","","0","","","","동물판매업"
"파트라슈","서울특별시 노원구 중계동 363-2번지 주공7단지아파트상가 101호","서울특별시 노원구 한글비석로8길 46 101호 (중계동 주공7단지아파트상가)","20140228","운영중","","","","","0","","","","동물판매업"
